Easting;Northing;Species;DamageClass;AgeClass;CrownStatus;Mixture;Setup_Aufbau
3.431.005,60;5.304.021,40;2;1;0;0;0;0
3.431.031,20;5.304.020,10;2;1;0;0;0;0
3.430.978,60;5.303.994,80;2;2;0;0;0;0
3.431.004,30;5.303.993,60;2;1;0;0;0;0
3.431.029,90;5.303.992,40;2;1;0;0;0;0
3.430.951,80;5.303.968,50;9;1;0;0;0;0
3.430.977,40;5.303.967,10;2;1;0;0;0;0
3.431.003,00;5.303.965,80;2;2;6;2;2;1
3.431.028,50;5.303.964,60;2;2;6;2;2;1
3.431.053,90;5.303.963,40;2;3;6;2;2;1
3.430.925,20;5.303.942,50;9;2;0;0;0;0
3.430.950,80;5.303.941,00;2;1;0;0;0;0
3.430.976,30;5.303.939,60;2;2;6;2;2;1
3.431.001,70;5.303.938,20;2;4;6;2;2;1
3.431.027,00;5.303.937,00;2;3;6;2;2;1
3.431.052,30;5.303.935,80;2;2;6;2;2;1
3.430.898,60;5.303.916,60;9;2;0;0;0;0
3.430.924,20;5.303.915,10;2;1;0;0;0;0
3.430.949,70;5.303.913,60;2;1;6;2;2;1
3.430.975,10;5.303.912,20;2;3;6;2;2;1
3.431.000,40;5.303.910,80;2;3;6;2;2;1
3.431.025,60;5.303.909,50;2;3;6;2;2;1
3.431.050,70;5.303.908,30;2;2;6;2;2;1
3.430.872,10;5.303.890,40;2;3;6;2;2;1
3.430.897,70;5.303.889,10;2;1;6;2;2;1
3.430.923,20;5.303.887,60;2;3;6;2;2;1
3.430.948,60;5.303.886,20;2;3;6;2;2;1
3.430.999,00;5.303.883,40;2;3;6;2;2;1
3.431.024,10;5.303.882,10;2;2;6;2;2;1
3.431.049,10;5.303.880,80;2;2;6;2;2;1
3.430.820,00;5.303.865,00;2;2;7;2;3;2
3.430.845,70;5.303.863,90;2;3;6;2;2;1
3.430.871,30;5.303.862,70;2;3;6;2;2;1
3.430.896,80;5.303.861,60;2;4;6;2;2;1
3.430.922,20;5.303.860,20;2;3;6;2;2;1
3.430.947,50;5.303.858,90;2;1;6;2;2;1
3.430.972,60;5.303.857,50;2;4;6;2;2;1
3.430.997,70;5.303.856,20;2;2;6;2;2;1
3.431.022,60;5.303.854,80;2;3;6;2;2;1
3.431.047,40;5.303.853,50;2;2;6;2;2;1
3.430.819,40;5.303.837,50;2;3;7;2;3;2
3.430.845,00;5.303.836,40;2;2;6;2;2;1
3.430.870,50;5.303.835,40;2;2;6;2;2;1
3.430.895,90;5.303.834,30;2;2;6;2;2;1
3.430.921,20;5.303.833,10;2;2;6;2;2;1
3.430.946,40;5.303.832,00;2;3;6;2;2;1
3.430.971,40;5.303.830,70;2;2;6;2;2;1
3.430.996,40;5.303.829,40;2;2;6;2;2;1
3.431.021,20;5.303.828,10;2;2;6;2;2;1
3.431.045,90;5.303.826,70;2;2;6;2;2;1
3.430.818,90;5.303.810,20;2;3;7;2;3;2
3.430.844,40;5.303.809,20;2;1;6;2;2;1
3.430.869,70;5.303.808,20;2;2;6;2;2;1
3.430.895,00;5.303.807,30;2;2;6;2;2;1
3.430.920,20;5.303.806,30;2;2;6;2;2;1
3.430.945,30;5.303.805,30;2;2;6;2;2;1
3.430.970,30;5.303.804,20;2;3;6;2;2;1
3.430.995,20;5.303.803,00;2;1;6;2;2;1
3.431.019,80;5.303.801,60;2;2;6;2;2;1
3.431.044,40;5.303.800,20;2;1;6;2;2;1
3.430.793,00;5.303.784,40;2;2;7;2;3;2
3.430.818,40;5.303.783,40;2;3;7;2;3;2
3.430.843,80;5.303.782,40;2;2;7;2;3;2
3.430.869,00;5.303.781,50;2;1;6;2;2;1
3.430.894,20;5.303.780,60;2;3;6;2;2;1
3.430.919,20;5.303.779,70;2;1;6;2;2;1
3.430.944,20;5.303.778,80;2;2;6;2;2;1
3.430.969,10;5.303.777,70;2;2;6;2;2;1
3.430.993,90;5.303.776,60;2;2;6;2;2;1
3.431.018,40;5.303.775,30;2;2;6;2;2;1
3.431.042,80;5.303.773,80;2;2;6;2;2;1
3.430.741,60;5.303.759,90;2;1;7;2;3;2
3.430.767,10;5.303.758,90;2;3;7;2;3;2
3.430.817,90;5.303.757,00;2;3;7;2;3;2
3.430.843,10;5.303.756,00;2;2;7;2;3;2
3.430.868,30;5.303.755,10;2;3;7;2;3;2
3.430.893,30;5.303.754,20;2;2;6;2;2;1
3.430.918,30;5.303.753,30;2;1;6;2;2;1
3.430.943,20;5.303.752,50;2;1;6;2;2;1
3.430.967,90;5.303.751,50;2;1;6;2;2;1
3.430.992,60;5.303.750,40;2;3;6;2;2;1
3.431.017,00;5.303.749,10;2;1;0;0;0;0
3.430.690,40;5.303.735,00;2;3;0;0;0;0
3.430.715,90;5.303.734,30;2;3;0;0;0;0
3.430.741,40;5.303.733,40;2;3;7;2;3;2
3.430.766,80;5.303.732,60;2;3;7;2;3;2
3.430.792,10;5.303.731,70;2;3;2;2;2;3
3.430.842,50;5.303.729,90;2;3;2;2;2;3
3.430.867,50;5.303.728,90;2;3;7;2;3;2
3.430.892,50;5.303.728,00;2;2;6;2;2;1
3.430.917,30;5.303.727,10;2;2;6;2;2;1
3.430.665,00;5.303.709,40;2;3;7;2;3;2
3.430.690,40;5.303.708,70;2;4;7;2;3;2
3.430.715,90;5.303.707,90;2;3;7;2;3;2
3.430.741,20;5.303.707,20;1;1;7;2;3;2
3.430.766,50;5.303.706,40;2;4;7;2;3;2
3.430.791,70;5.303.705,60;1;2;2;2;2;3
3.430.841,90;5.303.703,90;2;3;2;2;2;3
3.430.665,30;5.303.682,90;2;3;7;2;3;2
3.430.690,70;5.303.682,20;2;3;7;2;3;2
3.430.716,00;5.303.681,40;1;1;2;2;2;3
3.430.741,20;5.303.680,70;1;1;2;2;2;3
3.430.766,30;5.303.679,90;1;1;2;2;2;3
3.430.791,40;5.303.679,20;1;1;7;2;3;2
3.430.816,40;5.303.678,50;2;3;7;2;3;2
3.430.841,30;5.303.677,70;2;3;7;2;3;2
3.434.271,30;5.301.480,50;2;2;4;2;4;3
3.434.297,70;5.301.483,30;2;2;0;0;0;0
3.434.194,30;5.301.448,10;2;2;0;0;0;0
3.434.220,20;5.301.450,50;2;4;0;0;0;0
3.434.246,30;5.301.452,90;2;2;0;0;0;0
3.434.272,60;5.301.455,60;2;2;0;0;0;0
3.434.299,10;5.301.458,30;2;2;0;0;0;0
3.434.325,70;5.301.461,10;2;2;0;0;0;0
3.434.017,40;5.301.408,40;2;1;0;0;0;0
3.434.042,50;5.301.410,30;2;2;0;0;0;0
3.434.067,70;5.301.412,30;2;3;0;0;0;0
3.434.093,00;5.301.414,30;2;2;0;0;0;0
3.434.118,40;5.301.416,40;2;2;0;0;0;0
3.434.143,90;5.301.418,50;2;2;0;0;0;0
3.434.169,60;5.301.420,70;2;1;0;0;0;0
3.434.195,40;5.301.423,00;2;2;0;0;0;0
3.434.221,40;5.301.425,40;2;3;0;0;0;0
3.434.247,50;5.301.427,80;2;3;0;0;0;0
3.434.273,90;5.301.430,40;2;3;0;0;0;0
3.434.300,40;5.301.433,10;2;2;0;0;0;0
3.434.327,20;5.301.435,70;2;1;0;0;0;0
3.434.354,10;5.301.438,30;2;1;0;0;0;0
3.433.869,20;5.301.372,90;2;2;0;0;0;0
3.433.893,70;5.301.374,70;2;3;0;0;0;0
3.433.918,40;5.301.376,50;2;2;0;0;0;0
3.433.943,20;5.301.378,20;2;3;0;0;0;0
3.433.968,10;5.301.379,90;2;3;0;0;0;0
3.433.993,10;5.301.381,70;2;3;0;0;0;0
3.434.018,10;5.301.383,50;2;2;0;0;0;0
3.434.043,30;5.301.385,40;2;2;0;0;0;0
3.434.068,50;5.301.387,30;2;2;0;0;0;0
3.434.093,90;5.301.389,30;2;1;0;0;0;0
3.434.119,30;5.301.391,30;2;3;0;0;0;0
3.434.144,90;5.301.393,40;2;3;0;0;0;0
3.434.170,60;5.301.395,60;2;4;0;0;0;0
3.434.196,50;5.301.397,80;2;3;0;0;0;0
3.434.222,50;5.301.400,20;2;3;0;0;0;0
3.434.248,80;5.301.402,50;2;3;0;0;0;0
3.434.275,20;5.301.405,10;2;2;0;0;0;0
3.434.301,80;5.301.407,60;2;2;0;0;0;0
3.434.328,60;5.301.410,10;2;2;0;0;0;0
3.434.355,60;5.301.412,70;2;1;0;0;0;0
3.434.382,80;5.301.415,10;2;2;0;0;0;0
3.434.410,10;5.301.417,50;2;2;0;0;0;0
3.433.797,10;5.301.342,60;2;2;0;0;0;0
3.433.821,10;5.301.344,50;2;2;0;0;0;0
3.433.845,20;5.301.346,40;2;3;0;0;0;0
3.433.869,70;5.301.348,10;2;2;0;0;0;0
3.433.894,30;5.301.349,90;2;3;0;0;0;0
3.433.919,00;5.301.351,60;2;3;0;0;0;0
3.433.943,90;5.301.353,20;2;2;0;0;0;0
3.433.968,80;5.301.355,00;2;2;0;0;0;0
3.433.993,80;5.301.356,70;2;1;0;0;0;0
3.434.018,90;5.301.358,50;2;2;0;0;0;0
3.434.044,10;5.301.360,40;2;3;0;0;0;0
3.434.094,80;5.301.364,20;2;2;0;0;0;0
3.434.120,20;5.301.366,30;2;2;0;0;0;0
3.434.145,90;5.301.368,40;2;3;0;0;0;0
3.434.171,70;5.301.370,50;2;4;0;0;0;0
3.434.197,60;5.301.372,70;2;2;0;0;0;0
3.434.223,70;5.301.375,00;2;2;0;0;0;0
3.434.250,00;5.301.377,20;2;2;0;0;0;0
3.434.276,50;5.301.379,60;2;3;0;0;0;0
3.434.303,20;5.301.382,00;2;2;0;0;0;0
3.434.330,00;5.301.384,40;2;1;0;0;0;0
3.434.357,10;5.301.386,80;2;2;0;0;0;0
3.434.384,30;5.301.389,10;2;2;0;0;0;0
3.434.411,60;5.301.391,30;2;1;0;0;0;0
3.434.439,10;5.301.393,50;2;3;0;0;0;0
3.433.798,00;5.301.317,60;2;2;0;0;0;0
3.433.822,00;5.301.319,40;2;3;0;0;0;0
3.433.846,10;5.301.321,30;2;2;0;0;0;0
3.433.870,50;5.301.323,00;2;2;0;0;0;0
3.433.895,10;5.301.324,80;2;2;0;0;0;0
3.433.919,80;5.301.326,50;2;2;0;0;0;0
3.433.944,60;5.301.328,20;2;2;0;0;0;0
3.433.969,50;5.301.330,00;2;3;0;0;0;0
3.433.994,50;5.301.331,70;2;3;0;0;0;0
3.434.019,60;5.301.333,60;2;1;0;0;0;0
3.434.044,80;5.301.335,40;2;2;0;0;0;0
3.434.070,10;5.301.337,30;2;2;0;0;0;0
3.434.095,60;5.301.339,10;2;2;0;0;0;0
3.434.121,20;5.301.341,10;3;2;0;0;0;0
3.434.146,80;5.301.343,20;2;2;0;0;0;0
3.434.172,70;5.301.345,30;2;2;0;0;0;0
3.434.198,70;5.301.347,50;2;3;0;0;0;0
3.434.224,90;5.301.349,70;10;2;0;0;0;0
3.434.251,30;5.301.351,80;2;2;0;0;0;0
3.434.277,80;5.301.354,00;2;4;0;0;0;0
3.434.304,50;5.301.356,30;2;3;0;0;0;0
3.434.331,40;5.301.358,50;2;1;0;0;0;0
3.434.358,50;5.301.360,70;2;3;0;0;0;0
3.434.413,00;5.301.364,90;2;3;0;0;0;0
3.434.440,40;5.301.366,80;3;2;0;0;0;0
3.433.728,80;5.301.286,70;2;2;0;0;0;0
3.433.751,90;5.301.288,70;2;2;0;0;0;0
3.433.775,40;5.301.290,60;2;1;0;0;0;0
3.433.799,00;5.301.292,50;2;1;0;0;0;0
3.433.823,00;5.301.294,30;2;2;0;0;0;0
3.433.847,10;5.301.296,10;2;2;0;0;0;0
3.433.871,40;5.301.297,90;2;2;0;0;0;0
3.433.895,90;5.301.299,70;2;2;0;0;0;0
3.433.920,50;5.301.301,40;2;1;0;0;0;0
3.433.945,30;5.301.303,20;2;2;0;0;0;0
3.433.970,20;5.301.304,90;2;2;0;0;0;0
3.433.995,20;5.301.306,70;2;3;0;0;0;0
3.434.020,30;5.301.308,50;2;3;0;0;0;0
3.434.045,50;5.301.310,40;2;3;0;0;0;0
3.434.070,90;5.301.312,20;2;3;0;0;0;0
3.434.096,40;5.301.314,10;2;2;0;0;0;0
3.434.122,00;5.301.316,00;2;3;0;0;0;0
3.434.147,80;5.301.317,90;3;1;0;0;0;0
3.434.173,70;5.301.320,00;2;3;0;0;0;0
3.434.199,80;5.301.322,10;2;2;0;0;0;0
3.434.226,10;5.301.324,20;2;3;0;0;0;0
3.434.252,50;5.301.326,30;2;3;0;0;0;0
3.434.279,10;5.301.328,30;2;2;0;0;0;0
3.434.359,90;5.301.334,40;2;2;0;0;0;0
3.434.387,10;5.301.336,40;2;2;0;0;0;0
3.434.414,40;5.301.338,30;2;2;0;0;0;0
3.434.441,70;5.301.340,00;2;1;0;0;0;0
3.434.469,00;5.301.341,70;2;4;0;0;0;0
3.434.496,40;5.301.343,30;10;2;0;0;0;0
3.433.730,10;5.301.261,70;2;2;0;0;0;0
3.433.753,20;5.301.263,60;2;2;0;0;0;0
3.433.776,60;5.301.265,50;8;3;0;0;0;0
3.433.800,20;5.301.267,30;2;2;0;0;0;0
3.433.848,10;5.301.271,00;2;2;0;0;0;0
3.433.872,30;5.301.272,80;2;2;0;0;0;0
3.433.896,60;5.301.274,60;2;1;0;0;0;0
3.433.921,20;5.301.276,30;2;2;0;0;0;0
3.433.945,90;5.301.278,10;2;1;0;0;0;0
3.433.970,80;5.301.279,90;2;2;0;0;0;0
3.433.995,80;5.301.281,60;2;3;0;0;0;0
3.434.020,90;5.301.283,40;2;3;0;0;0;0
3.434.046,20;5.301.285,20;2;2;0;0;0;0
3.434.071,60;5.301.287,10;2;2;0;0;0;0
3.434.097,20;5.301.288,90;2;2;0;0;0;0
3.434.122,90;5.301.290,70;2;2;0;0;0;0
3.434.148,80;5.301.292,60;2;2;0;0;0;0
3.434.174,80;5.301.294,50;2;3;0;0;0;0
3.434.200,90;5.301.296,50;2;3;0;0;0;0
3.434.227,30;5.301.298,50;2;3;0;0;0;0
3.434.253,80;5.301.300,50;2;3;0;0;0;0
3.434.280,50;5.301.302,50;2;3;0;0;0;0
3.434.307,30;5.301.304,40;2;3;0;0;0;0
3.434.334,20;5.301.306,20;2;3;0;0;0;0
3.434.361,30;5.301.308,10;2;3;0;0;0;0
3.434.415,60;5.301.311,50;2;1;0;0;0;0
3.434.442,80;5.301.313,00;2;1;0;0;0;0
3.434.470,00;5.301.314,50;2;3;0;0;0;0
3.434.497,30;5.301.316,00;10;1;0;0;0;0
3.433.731,50;5.301.236,70;2;3;0;0;0;0
3.433.754,50;5.301.238,60;2;2;0;0;0;0
3.433.777,90;5.301.240,40;2;2;0;0;0;0
3.433.801,40;5.301.242,20;2;2;0;0;0;0
3.433.825,20;5.301.243,90;2;2;0;0;0;0
3.433.849,10;5.301.245,70;2;3;0;0;0;0
3.433.873,10;5.301.247,60;3;2;0;0;0;0
3.433.897,40;5.301.249,40;2;1;0;0;0;0
3.433.921,90;5.301.251,20;2;1;0;0;0;0
3.433.946,60;5.301.252,90;2;1;0;0;0;0
3.433.971,40;5.301.254,70;2;2;0;0;0;0
3.433.996,40;5.301.256,50;2;1;0;0;0;0
3.434.021,60;5.301.258,20;2;4;0;0;0;0
3.434.046,90;5.301.260,00;2;3;0;0;0;0
3.434.072,40;5.301.261,80;2;2;0;0;0;0
3.434.098,00;5.301.263,60;2;3;0;0;0;0
3.434.123,80;5.301.265,30;2;3;0;0;0;0
3.434.149,70;5.301.267,10;2;3;0;0;0;0
3.434.175,80;5.301.269,00;2;3;0;0;0;0
3.434.202,10;5.301.270,80;2;3;0;0;0;0
3.434.228,50;5.301.272,60;2;3;0;0;0;0
3.434.255,00;5.301.274,40;2;4;0;0;0;0
3.434.281,70;5.301.276,10;2;2;0;0;0;0
3.434.308,50;5.301.277,90;2;3;0;0;0;0
3.434.335,40;5.301.279,50;2;2;0;0;0;0
3.434.362,40;5.301.281,10;2;2;0;0;0;0
3.434.389,50;5.301.282,80;2;2;0;0;0;0
3.434.416,60;5.301.284,30;2;1;0;0;0;0
3.433.732,80;5.301.211,80;2;3;0;0;0;0
3.433.755,80;5.301.213,60;2;2;0;0;0;0
3.433.779,20;5.301.215,30;2;2;0;0;0;0
3.433.802,70;5.301.217,00;2;2;0;0;0;0
3.433.826,40;5.301.218,70;2;2;0;0;0;0
3.433.850,30;5.301.220,40;2;3;0;0;0;0
3.433.874,30;5.301.222,20;2;3;0;0;0;0
3.433.898,50;5.301.223,90;2;3;0;0;0;0
3.433.922,90;5.301.225,70;8;2;0;0;0;0
3.433.947,50;5.301.227,40;2;1;0;0;0;0
3.433.972,30;5.301.229,20;2;1;0;0;0;0
3.433.997,20;5.301.230,90;2;1;0;0;0;0
3.434.022,40;5.301.232,70;2;3;0;0;0;0
3.434.047,70;5.301.234,50;2;3;0;0;0;0
3.434.073,20;5.301.236,20;2;3;0;0;0;0
3.434.098,90;5.301.237,90;2;3;0;0;0;0
3.434.124,70;5.301.239,60;2;3;0;0;0;0
3.434.150,70;5.301.241,30;2;3;0;0;0;0
3.434.176,90;5.301.243,10;2;2;0;0;0;0
3.434.203,20;5.301.244,90;2;2;0;0;0;0
3.434.229,60;5.301.246,50;2;3;0;0;0;0
3.434.256,20;5.301.248,20;2;3;0;0;0;0
3.434.282,90;5.301.249,70;2;3;0;0;0;0
3.434.309,60;5.301.251,20;2;2;0;0;0;0
3.434.336,40;5.301.252,60;2;2;0;0;0;0
3.434.363,30;5.301.254,10;2;2;0;0;0;0
3.434.390,30;5.301.255,50;2;1;0;0;0;0
3.434.444,30;5.301.258,30;8;2;0;0;0;0
3.434.553,50;5.301.264,20;2;1;0;0;0;0
3.433.734,10;5.301.186,90;2;2;0;0;0;0
3.433.757,10;5.301.188,60;2;2;0;0;0;0
3.433.780,50;5.301.190,20;2;3;0;0;0;0
3.433.804,00;5.301.191,80;2;2;0;0;0;0
3.433.827,70;5.301.193,40;2;3;0;0;0;0
3.433.851,50;5.301.195,10;2;2;0;0;0;0
3.433.875,50;5.301.196,70;2;2;0;0;0;0
3.433.899,70;5.301.198,40;2;3;0;0;0;0
3.433.924,00;5.301.200,10;2;3;0;0;0;0
3.433.948,60;5.301.201,80;2;2;0;0;0;0
3.433.973,30;5.301.203,60;3;2;0;0;0;0
3.434.023,30;5.301.207,00;2;3;0;0;0;0
3.434.048,60;5.301.208,80;3;2;0;0;0;0
3.434.074,20;5.301.210,40;2;3;0;0;0;0
3.434.099,90;5.301.212,00;2;2;0;0;0;0
3.434.125,80;5.301.213,60;2;2;0;0;0;0
3.434.151,80;5.301.215,20;2;2;0;0;0;0
3.434.178,00;5.301.216,80;3;3;0;0;0;0
3.434.230,80;5.301.219,80;2;2;0;0;0;0
3.434.257,30;5.301.221,30;2;2;0;0;0;0
3.434.283,90;5.301.222,60;2;3;0;0;0;0
3.434.310,50;5.301.223,90;2;2;0;0;0;0
3.434.363,80;5.301.226,50;2;2;0;0;0;0
3.434.390,60;5.301.227,80;2;1;0;0;0;0
3.434.417,50;5.301.229,20;2;2;0;0;0;0
3.434.444,40;5.301.230,60;8;3;0;0;0;0
3.434.553,90;5.301.236,80;2;2;0;0;0;0
3.434.581,70;5.301.238,40;2;1;0;0;0;0
3.433.735,40;5.301.162,10;8;2;0;0;0;0
3.433.758,40;5.301.163,60;2;3;0;0;0;0
3.433.781,70;5.301.165,20;2;2;0;0;0;0
3.433.805,20;5.301.166,70;2;3;0;0;0;0
3.433.829,00;5.301.168,20;2;3;0;0;0;0
3.433.852,90;5.301.169,70;2;3;0;0;0;0
3.433.876,90;5.301.171,30;2;2;0;0;0;0
3.433.901,00;5.301.172,90;2;3;0;0;0;0
3.433.925,40;5.301.174,50;2;2;0;0;0;0
3.433.949,90;5.301.176,10;2;2;0;0;0;0
